a cappella, Redewendung, nhd.; L.: WDG1
abdreschen, V., nhd.; L.: WDG1
Abdrift, F., nhd.; L.: WDG1
abdringen, V., nhd.; L.: WDG1
abdrosseln, V., nhd.; L.: WDG1
Abdruck, M., nhd.; L.: WDG1
abdrucken, V., nhd.; L.: WDG1
abdrücken, V., nhd.; L.: WDG1
Abdrusch, M., nhd.; L.: WDG1
abducken, V., nhd.; L.: WDG1
abdunkeln, V., nhd.; L.: WDG1
abduschen, V., (sich), nhd.; L.: WDG1
abebben, V., nhd.; L.: WDG1
abecelich, Adj., nhd.; L.: WDG1
abeggen, V., nhd.; L.: WDG1
Abend, M., nhd.; L.: WDG1
Abendandacht, F., nhd.; L.: WDG1
Abendanzug, M., nhd.; L.: WDG1
Abendanzug, M., nhd.; L.: WDG1
Abendappell, M., nhd.; L.: WDG1
Abendappell, M., nhd.; L.: WDG1
Abendarbeit, F., nhd.; L.: WDG1
Abendaufführung, F., nhd.; L.: WDG1
Abendaufführung, F., nhd.; L.: WDG1
Abendausgabe, F., nhd.; L.: WDG1
Abendausgabe, F., nhd.; L.: WDG1
Abendbeleuchtung, F., nhd.; L.: WDG1
Abendblatt, N., nhd.; L.: WDG1
Abendbrot, N., nhd.; L.: WDG1
Abendbrottisch, M., nhd.; L.: WDG1
Abendbummel, M., nhd.; L.: WDG1
Abenddämmerung, F., nhd.; L.: WDG1
Abenddunkel, N., nhd.; L.: WDG1
Abendessen, N., nhd.; L.: WDG1
Abendfriede(n), M., nhd.; L.: WDG1
abendfüllend, Adj., nhd.; L.: WDG1
Abendgang, M., nhd.; L.: WDG1
Abendgebet, N., nhd.; L.: WDG1
Abendgeläut(e), N., nhd.; L.: WDG1
Abendgesellschaft, F., nhd.; L.: WDG1
Abendglanz, M., nhd.; L.: WDG1
Abendglocke, F., nhd.; L.: WDG1
Abendglut, F., nhd.; L.: WDG1
Abendgold, N., nhd.; L.: WDG1
Abendgottesdienst, M., nhd.; L.: WDG1
Abendhauch, M., nhd.; L.: WDG1
Abendhimmel, M., nhd.; L.: WDG1
Abendkasse, F., nhd.; L.: WDG1
Abendkleid, N., nhd.; L.: WDG1
Abendkleidung, F., nhd.; L.: WDG1
Abendkonzert, N., nhd.; L.: WDG1
Abendkühle, F., nhd.; L.: WDG1
Abendkurs, M., nhd.; L.: WDG1
Abendkursus, M., nhd.; L.: WDG1
Abendläuten, N., nhd.; L.: WDG1
Abendlehrgang, M., nhd.; L.: WDG1
abendlich, Adj., nhd.; L.: WDG1
Abendlicht, N., nhd.; L.: WDG1
Abendlied, N., nhd.; L.: WDG1
Abendluft, F., nhd.; L.: WDG1
Abendlüftchen, N., nhd.; L.: WDG1
Abendmahl, N., nhd.; L.: WDG1
Abendmahlsfeier, F., nhd.; L.: WDG1
Abendmahlsgast, M., nhd.; L.: WDG1
Abendmahlsgemeinschaft, F., nhd.; L.: WDG1
Abendmahlsgerät, N., nhd.; L.: WDG1
Abendmahlsgottesdienst, M., nhd.; L.: WDG1
Abendmahlskelch, M., nhd.; L.: WDG1
Abendmahlslied, N., nhd.; L.: WDG1
Abendmahlstisch, M., nhd.; L.: WDG1
Abendmahlswein, M., nhd.; L.: WDG1
Abendmahlzeit, F., nhd.; L.: WDG1
Abendmantel, M., nhd.; L.: WDG1
Abendmeldung, F., nhd.; L.: WDG1
Abendmesse, F., nhd.; L.: WDG1
Abendmusik, F., nhd.; L.: WDG1
Abendnachricht, F., nhd.; L.: WDG1
Abendnebel, M., nhd.; L.: WDG1
Abendoberschule, F., nhd.; L.: WDG1
Abendpfeife, F., nhd.; L.: WDG1
Abendpost, F., nhd.; L.: WDG1
Abendpresse, F., nhd.; L.: WDG1
Abendprogramm, N., nhd.; L.: WDG1
Abendrot, N., nhd.; L.: WDG1
Abendröte, F., nhd.; L.: WDG1
Abendruhe, F., nhd.; L.: WDG1
Abendrunde, F., nhd.; L.: WDG1
abends, Adv., nhd.; L.: WDG1
Abendschein, M., nhd.; L.: WDG1
